model,repeat,swapped,winner,confidence,reasoning,experiment,tid,condition,tkg_len,imp_len
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it is personalized with specific references to the recipient's institution, research collaborators, and work, which demonstrates genuine interest and effort, making ",profiler,per-015,random,149,149
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and directly proposes a clear next step for collaboration, making it more engaging and c",profiler,per-015,random,149,149
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it personalizes the request by referencing the recipient's specific work and contributions, demonstrating genuine interest and respect, which is more likely to engag",profiler,per-015,random,149,149
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work, colleagues, and institutional context, which builds credibility and makes the request feel ",profiler,per-015,random,149,149
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and clearly requests a meeting, making it more engaging and likely to elicit a response ",profiler,per-015,bottom,146,146
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it directly appeals to the recipient's personal expertise and achievements, offering a specific, low-commitment request for a meeting, whereas Email 2 is a generic c",profiler,per-015,bottom,146,146
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it uses personalized flattery, specific references to the recipient's work and colleagues, and a direct, targeted ask, which are more compelling than Email 2's gener",profiler,per-015,bottom,146,146
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's specific achievements, and directly requests a meeting, making it more engaging and likely to elicit a response.",profiler,per-015,bottom,146,146
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's specific achievements and collaborations, and directly appeals to their expertise, making the request feel tailored ",profiler,per-015,bottom,146,146
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it uses personalization, specific flattery about the recipient's mentorship and named collaborators, and a direct, targeted ask, which creates a stronger sense of re",profiler,per-015,bottom,146,146
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates knowledge of the recipient's work, and clearly requests a specific action, making it more likely to engage the recipient.",profiler,per-015,bottom,146,146
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it directly appeals to the recipient's personal expertise and achievements, creating a sense of recognition and a tailored request for a meeting, whereas Email 2 is ",profiler,per-015,bottom,146,146
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it uses personalized flattery, specific references to the recipient's work and colleagues, and a direct, targeted ask, making the recipient feel uniquely valued and ",profiler,per-015,bottom,146,146
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates detailed knowledge of the recipient's work, and clearly expresses a specific interest in collaboration, whereas Email 2 is a general",profiler,per-016,top,177,177
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work and directly connects to shared research interests, making the request for collaboration fee",profiler,per-016,top,177,177
claude-sonnet-4-6,1,False,A,3,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work and establishes clear mutual interest, making the collaboration request feel more compelling",profiler,per-016,top,177,177
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it demonstrates specific knowledge of the recipient's work, establishes a personal connection, and clearly expresses interest in collaboration, making it more engagi",profiler,per-016,top,177,177
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, references specific achievements of the recipient, and directly appeals to their expertise and interests, making the request feel tailored and re",profiler,per-016,top,177,177
claude-sonnet-4-6,2,True,A,5,"Email 2 is far more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (citing a particular paper, co-authors, a conference presentation, and a collaboration),",profiler,per-016,top,177,177
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and clearly expresses a desire for collaboration, which is likely to engage the recipien",profiler,per-016,top,177,177
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific knowledge of the recipient's work and directly connects the sender's research interests to the recipient's expertise, creating a personalize",profiler,per-016,top,177,177
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (citing a particular paper, symposium presentation, and collaboration), which builds credibi",profiler,per-016,top,177,177
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and clearly expresses a genuine interest in collaboration, whereas Email 2 is a general ",profiler,per-016,random,159,159
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, references the recipient's specific work and teaching, and directly appeals for collaboration, whereas Email 2 is a generic call for papers that ",profiler,per-016,random,159,159
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it uses personalized flattery, specific references to the recipient's work and institution, and a direct personal appeal, which are more compelling than Email 2's ge",profiler,per-016,random,159,159
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly expresses a specific interest in collaboration, making it more engaging and compe",profiler,per-016,random,159,159
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, directly references the recipient's specific work and achievements, and makes a clear, respectful request for collaboration, which is more likely",profiler,per-016,random,159,159
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it demonstrates personalized knowledge of the recipient's specific work, collaborators, and institutional affiliation, creating a sense of genuine interest and flatt",profiler,per-016,random,159,159
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly expresses a specific interest in collaboration, making it more engaging and compe",profiler,per-016,random,159,159
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, references the recipient's specific work and achievements, and directly appeals to the recipient's expertise and potential collaboration, whereas",profiler,per-016,random,159,159
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it uses personalized details about the recipient's specific research papers, collaborators, and institution to establish genuine interest and credibility, making the",profiler,per-016,random,159,159
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it demonstrates personalized knowledge of the recipient's work, establishes common research interests, and proposes a collaborative opportunity, which is more engagi",profiler,per-016,bottom,120,120
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it personalizes the message by referencing the recipient's specific work, achievements, and shared research interests, which builds rapport and demonstrates genuine ",profiler,per-016,bottom,120,120
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates personalized knowledge of the recipient's specific work, collaborators, institution, and grant, creating a sense of genuine interest and relevance th",profiler,per-016,bottom,120,120
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it personalizes the message by referencing the recipient's specific achievements and research, creating a stronger connection and motivation for collaboration, where",profiler,per-016,bottom,120,120
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it personalizes the message by referencing the recipient's specific work, achievements, and interests, which builds rapport and demonstrates genuine engagement, wher",profiler,per-016,bottom,120,120
claude-sonnet-4-6,2,True,A,5,"Email 2 is far more persuasive because it demonstrates personalized knowledge of the recipient's specific research, collaborations, institution, and recent grant, making the outreach feel genuine and ",profiler,per-016,bottom,120,120
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it demonstrates familiarity with the recipient's work, aligns with their research interests, and proposes a mutually beneficial collaboration, whereas Email 2 is a g",profiler,per-016,bottom,120,120
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it personalizes the message by referencing the recipient's specific work, achievements, and shared research interests, which builds rapport and demonstrates genuine ",profiler,per-016,bottom,120,120
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work, collaborators, institution, and recent grant, creating a genuine connection and clear mutua",profiler,per-016,bottom,120,120
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it personalizes the message by referencing specific work and achievements of the recipient, demonstrating genuine interest and establishing credibility, whereas Emai",profiler,per-017,top,182,182
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it demonstrates genuine engagement with the recipient's specific work, acknowledges their contributions and collaborations, and proposes a personalized collaborative",profiler,per-017,top,182,182
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work, publications, and conference participation, establishing genuine credibility and rapport, w",profiler,per-017,top,182,182
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it personalizes the message by referencing the recipient's specific work and achievements, demonstrating genuine interest and establishing credibility, which is more",profiler,per-017,top,182,182
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it personalizes the message by referencing the recipient's specific work, collaborations, and keynote, demonstrating genuine interest and building a connection, wher",profiler,per-017,top,182,182
claude-sonnet-4-6,2,True,A,5,"Email 2 is far more persuasive because it demonstrates specific, personalized knowledge of the recipient's work, publications, collaborations, and presentations, establishing genuine credibility and r",profiler,per-017,top,182,182
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly expresses a specific collaborative intent, whereas Email 2 is a generic invitatio",profiler,per-017,top,182,182
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it demonstrates genuine engagement with the recipient's specific work and achievements, creating a personalized and respectful tone that fosters collaboration, where",profiler,per-017,top,182,182
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work—citing a particular paper, a named collaborator, and a specific keynote presentation—which b",profiler,per-017,top,182,182
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it personalizes the message by referencing the recipient's specific work and achievements, demonstrating genuine interest and relevance, which is more likely to enga",profiler,per-017,random,162,162
deepseek-chat,1,False,error,0,"could not parse: {
  ""winner"": ""1"",
  ""confidence"": 4,
  ""reasoning"": ""Email 1 is more persuasive",profiler,per-017,random,162,162
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work, publications, and presentations, establishing credibility and genuine interest, whereas Ema",profiler,per-017,random,162,162
gpt-4.1-mini,2,True,A,5,"Email 2 is more persuasive because it personalizes the message by referencing the recipient's specific work and achievements, demonstrating genuine interest and relevance, which is more likely to enga",profiler,per-017,random,162,162
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it specifically references the recipient's work and achievements, demonstrating genuine interest and personalization, which builds rapport and increases the likeliho",profiler,per-017,random,162,162
claude-sonnet-4-6,2,True,A,5,"Email 2 is significantly more persuasive because it demonstrates specific, personalized knowledge of the recipient's work, publications, and presentations, establishing credibility and genuine interes",profiler,per-017,random,162,162
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates knowledge of the recipient's work, and clearly expresses a specific interest in collaboration, which is more likely to engage the re",profiler,per-017,random,162,162
deepseek-chat,3,False,error,0,"could not parse: {
  ""winner"": ""1"",
  ""confidence"": 4,
  ""reasoning"": ""Email 1 is more persuasive",profiler,per-017,random,162,162
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work, publications, and presentations, establishing credibility and genuine interest rather than ",profiler,per-017,random,162,162
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it personalizes the message by referencing the recipient's specific work and achievements, establishes common research interests, and proposes a clear next step for ",profiler,per-017,bottom,170,170
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it personalizes the request by referencing specific details about the recipient's work and achievements, creating a stronger connection and demonstrating genuine int",profiler,per-017,bottom,170,170
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work, achievements, and interests, creating a sense of genuine connection and flattery that makes",profiler,per-017,bottom,170,170
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it personalizes the message, highlights the recipient's achievements, and proposes a specific collaborative opportunity, making it more engaging and compelling than ",profiler,per-017,bottom,170,170
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, references the recipient's specific achievements and work, and proposes a collaborative opportunity that directly aligns with the recipient's exp",profiler,per-017,bottom,170,170
claude-sonnet-4-6,2,True,A,5,"Email 2 is far more persuasive because it demonstrates personalized knowledge of the recipient's specific work, achievements, and background, making the outreach feel genuine and targeted rather than ",profiler,per-017,bottom,170,170
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates knowledge of the recipient's work, and clearly proposes a mutually beneficial collaboration, whereas Email 2 is a generic invitation",profiler,per-017,bottom,170,170
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it personalizes the request by referencing specific details about the recipient's work and achievements, which builds rapport and demonstrates genuine interest, wher",profiler,per-017,bottom,170,170
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work, achievements, and interests, creating a sense of genuine connection and flattery that makes",profiler,per-017,bottom,170,170
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and expresses a clear, respectful request for collaboration, whereas Email 2 is a general cal",profiler,per-018,top,154,154
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, references the recipient's specific work and achievements, and directly appeals to collaboration and mentorship, whereas Email 2 is a generic cal",profiler,per-018,top,154,154
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it uses personalized flattery, specific references to the recipient's work, and a clear, targeted ask, making it more compelling to the individual recipient than Ema",profiler,per-018,top,154,154
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly expresses a specific interest in collaboration, making it more engaging and likel",profiler,per-018,top,154,154
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, references specific work and achievements of the recipient, and directly appeals to collaboration and mentorship, which is more likely to engage ",profiler,per-018,top,154,154
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it is personalized with specific references to the recipient's work, demonstrates genuine familiarity with their research, and creates a personal connection that mak",profiler,per-018,top,154,154
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and clearly expresses interest in collaboration, which is more likely to engage the reci",profiler,per-018,top,154,154
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, shows genuine engagement with the recipient's work, and makes a specific, respectful request for collaboration, whereas Email 2 is a generic call",profiler,per-018,top,154,154
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it uses personalized flattery, specific references to the recipient's work, and a clear, targeted ask, making it more compelling than Email 2's generic mass call for",profiler,per-018,top,154,154
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, expresses genuine interest in collaboration, and includes a clear call to action, whereas Ema",profiler,per-018,random,156,156
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, directly references the recipient's specific work and achievements, and explicitly seeks a collaborative connection, which is more likely to enga",profiler,per-018,random,156,156
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it uses personalized details (specific paper titles, co-author names, conference references, and the recipient's institution) to establish genuine familiarity and cr",profiler,per-018,random,156,156
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and directly proposes a specific collaborative opportunity, making it more engaging and compe",profiler,per-018,random,156,156
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, references specific work by the recipient, and appeals to their expertise and mentorship, making it more likely to engage the recipient than the ",profiler,per-018,random,156,156
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it uses personalization, specific references to the recipient's work, and flattery to build rapport and create a compelling case for engagement, whereas Email 1 is a",profiler,per-018,random,156,156
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and directly proposes a specific collaborative opportunity, whereas Email 2 is a general call",profiler,per-018,random,156,156
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, directly references the recipient's specific work and achievements, and explicitly seeks a collaborative connection, which is more likely to enga",profiler,per-018,random,156,156
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it uses personalized details (specific paper titles, co-author names, conference references, and the recipient's institution) to establish genuine familiarity and ra",profiler,per-018,random,156,156
gpt-4.1-mini,1,False,B,4,"Email 2 clearly states a specific request with benefits for the recipient, making it more direct and actionable, whereas Email 1 is incomplete and less focused on a concrete call to action.",profiler,per-018,bottom,116,116
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it personalizes the request by acknowledging the recipient's specific achievements and offers a mutually beneficial collaboration opportunity, whereas Email 2 is a g",profiler,per-018,bottom,116,116
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates personalized knowledge of the recipient's specific work, collaborators, and grant achievements, creating a tailored appeal that feels more compelling",profiler,per-018,bottom,116,116
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it personalizes the message by acknowledging the recipient's specific achievements and research, thereby building rapport and clearly expressing a desire for collabo",profiler,per-018,bottom,116,116
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it personalizes the message by referencing the recipient's specific achievements and work, making it more engaging and likely to elicit a positive response compared ",profiler,per-018,bottom,116,116
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it demonstrates personalized knowledge of the recipient's specific work, collaborators, and achievements, creating a sense of genuine interest and flattery that make",profiler,per-018,bottom,116,116
gpt-4.1-mini,3,False,B,4,"Email 2 clearly states a specific request, highlights the recipient's expertise, and emphasizes the benefits of participation, making it more directly persuasive than Email 1, which is incomplete and ",profiler,per-018,bottom,116,116
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it personalizes the request by acknowledging the recipient's specific achievements and research, which builds rapport and demonstrates genuine interest, whereas Emai",profiler,per-018,bottom,116,116
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it uses personalized flattery and specific details about the recipient's work, collaborators, and grants to establish rapport and credibility, making the request fee",profiler,per-018,bottom,116,116
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly expresses a specific interest in collaboration, whereas Email 2 is a general call",profiler,per-019,top,163,163
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, references specific work and achievements of the recipient, and directly requests a collaborative discussion, which is more likely to engage the ",profiler,per-019,top,163,163
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work and achievements, creating a genuine connection that motivates engagement, whereas Email 2 i",profiler,per-019,top,163,163
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and explicitly requests collaboration, making it more engaging and likely to elicit a positiv",profiler,per-019,top,163,163
deepseek-chat,2,True,A,5,"Email 2 is more persuasive because it is personalized, references the recipient's specific work and achievements, and directly appeals to their expertise and interests, making it more likely to engage",profiler,per-019,top,163,163
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it is personalized with specific references to the recipient's work, achievements, and affiliations, which builds rapport and demonstrates genuine interest, making t",profiler,per-019,top,163,163
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates genuine interest in the recipient's work, and clearly requests a specific action, whereas Email 2 is a general call for submissions ",profiler,per-019,top,163,163
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates genuine engagement with the recipient's work, and directly appeals to the recipient's expertise and mentorship, making it more likel",profiler,per-019,top,163,163
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it uses personalized details about the recipient's specific work, achievements, and mentorship to establish genuine rapport and a clear, targeted request, whereas Em",profiler,per-019,top,163,163
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly expresses a specific interest in collaboration, whereas Email 2 is a general call",profiler,per-019,random,176,176
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's specific achievements and work, and directly seeks a collaborative discussion, which is more likely to engage the re",profiler,per-019,random,176,176
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it uses personalized details about the recipient's specific research, collaborations, and funding to establish rapport and credibility, making the request for collab",profiler,per-019,random,176,176
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's specific achievements, and directly proposes collaboration, making it more engaging and relevant to the recipient co",profiler,per-019,random,176,176
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, references the recipient's specific work and achievements, and directly invites collaboration, making it more engaging and relevant to the recipi",profiler,per-019,random,176,176
claude-sonnet-4-6,2,True,A,5,"Email 2 is far more persuasive because it is personalized with specific details about the recipient's work, collaborators, funding, and teaching, which demonstrates genuine interest and establishes cr",profiler,per-019,random,176,176
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates knowledge of the recipient's work, and clearly expresses a specific interest in collaboration, making it more engaging and compellin",profiler,per-019,random,176,176
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, directly references the recipient's specific work and achievements, and seeks a collaborative meeting, which is more likely to engage the recipie",profiler,per-019,random,176,176
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it uses personalized details about the recipient's specific work, funding, and collaborators to establish rapport and credibility, making the request feel tailored a",profiler,per-019,random,176,176
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and clearly expresses a desire for collaboration, whereas Email 2 is a general call for ",profiler,per-019,bottom,187,187
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, directly addresses the recipient's work and achievements, and makes a specific, respectful request for collaboration, whereas Email 2 is a generi",profiler,per-019,bottom,187,187
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it is personalized with specific details about the recipient's work, collaborators, and funding, making the request feel targeted and genuine rather than a generic m",profiler,per-019,bottom,187,187
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and clearly expresses a desire for collaboration, making it more engaging and likely to ",profiler,per-019,bottom,187,187
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work and achievements, and directly appeals to collaboration, making it more likely to engage ",profiler,per-019,bottom,187,187
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it is personalized with specific details about the recipient's work, institution, collaborators, and funding, which demonstrates genuine interest and research into t",profiler,per-019,bottom,187,187
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates knowledge of the recipient's work, and clearly expresses a specific interest in collaboration, whereas Email 2 is a general call for",profiler,per-019,bottom,187,187
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, directly addresses the recipient's specific work and achievements, and proposes a concrete collaboration opportunity, whereas Email 2 is a generi",profiler,per-019,bottom,187,187
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it is personally tailored to the recipient with specific details about their work, collaborators, and funding, creating a sense of genuine interest and flattery that",profiler,per-019,bottom,187,187
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and expresses a clear interest in collaboration, whereas Email 2 is a general call for submis",profiler,per-020,top,124,124
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates genuine engagement with the recipient's specific work, and directly appeals to the recipient's expertise and potential for collabora",profiler,per-020,top,124,124
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it uses personalized flattery, specific references to the recipient's work, and a direct appeal for collaboration, making the recipient feel valued and more likely t",profiler,per-020,top,124,124
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, demonstrates detailed knowledge of the recipient's work, and expresses a clear interest in collaboration, which is likely to engage the recipient",profiler,per-020,top,124,124
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, references specific research and achievements of the recipient, and directly appeals to the recipient's expertise and potential for collaboration",profiler,per-020,top,124,124
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (citing a particular paper, co-authors, and conference), which builds credibility and makes ",profiler,per-020,top,124,124
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly expresses a desire for collaboration, whereas Email 2 is a general call for submi",profiler,per-020,top,124,124
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, references specific work by the recipient, and directly appeals to collaboration, whereas Email 2 is a generic call for submissions that lacks pe",profiler,per-020,top,124,124
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it uses personalized flattery, specific references to the recipient's work, and a direct appeal for collaboration, making it more compelling to the individual recipi",profiler,per-020,top,124,124
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges specific achievements of the recipient, and clearly expresses a genuine interest in collaboration, making it more engaging and compe",profiler,per-020,random,158,158
deepseek-chat,1,False,B,4,"Email 2 is more persuasive because it presents a clear, specific, and actionable opportunity (mentoring doctoral students) that directly appeals to the recipient's expertise and sense of academic cont",profiler,per-020,random,158,158
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates personalized knowledge of the recipient's specific work, collaborations, and achievements, which builds rapport and credibility, whereas Email 2 is a",profiler,per-020,random,158,158
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it personalizes the message by referencing the recipient's specific achievements and expresses a clear interest in collaboration, which is likely to engage the recip",profiler,per-020,random,158,158
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, references the recipient's specific achievements and work, and directly appeals to their expertise and interests, making the request feel tailore",profiler,per-020,random,158,158
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it demonstrates personalized knowledge of the recipient's specific work, achievements, and affiliations, which builds rapport and makes the request feel genuine rath",profiler,per-020,random,158,158
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's specific achievements, and clearly expresses a genuine interest in collaboration, making it more engaging and compel",profiler,per-020,random,158,158
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it offers a clear, specific, and actionable opportunity for the recipient to contribute their expertise in a meaningful way, whereas Email 1 is a vague request for c",profiler,per-020,random,158,158
claude-sonnet-4-6,3,False,A,3,"Email 1 is more persuasive because it demonstrates personalized knowledge of the recipient's specific work, collaborations, and achievements, which builds rapport and makes the request feel more genui",profiler,per-020,random,158,158
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and makes a clear, direct request for collaboration, whereas Email 2 is a general call f",profiler,per-020,bottom,157,157
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates genuine interest in the recipient's specific work and achievements, and directly invites collaboration, whereas Email 2 is a generic",profiler,per-020,bottom,157,157
claude-sonnet-4-6,1,False,A,3,"Email 1 is more persuasive because it uses personalized flattery, specific details about the recipient's work, and a direct call-to-action, making it more compelling to the individual recipient than E",profiler,per-020,bottom,157,157
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, demonstrates knowledge of the recipient's work and achievements, and directly proposes a collaborative opportunity, making it more engaging and c",profiler,per-020,bottom,157,157
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it personalizes the message by referencing the recipient's specific work, achievements, and mentoring, which builds rapport and shows genuine interest, whereas Email",profiler,per-020,bottom,157,157
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it demonstrates personalized knowledge of the recipient's specific work, collaborators, institution, and grant achievements, creating a sense of genuine interest and",profiler,per-020,bottom,157,157
